Ano de eleição;Cargo;Cor/raça;Detalhe da situação de candidatura;Faixa etária;Gênero;Grau de instrução;Região;Situação de candidatura;Situação de totalização;Turno;UF;Quantidade de candidatos;Quantidade de candidatos eleitos;Quantidade de candidatos para o 2º turno;Quantidade de candidatos não eleitos;Quantidade de candidatos suplentes;Quantidade de candidatos não informados;Data de carga
2018;1º Suplente;Amarela;Deferido;40 a 44 anos;Feminino;Ensino Fundamental incompleto;NORDESTE;Apto;Não eleito;1;SE;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Cassado;45 a 49 anos;Masculino;Ensino Médio incompleto;CENTRO-OESTE;Inapto;Não eleito;1;MT;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;30 a 34 anos;Feminino;Superior completo;NORTE;Apto;Não eleito;1;RR;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Feminino;Ensino Médio completo;NORTE;Apto;Não eleito;1;AP;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Feminino;Ensino Médio completo;NORTE;Apto;Não eleito;1;RO;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Feminino;Ensino Médio completo;SUL;Apto;Eleito;1;RS;1,0;1,0;0,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Feminino;Superior completo;CENTRO-OESTE;Apto;Não eleito;1;DF;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Feminino;Superior completo;NORDESTE;Apto;Não eleito;1;CE;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Feminino;Superior completo;NORDESTE;Apto;Não eleito;1;MA;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Feminino;Superior completo;NORDESTE;Apto;Não eleito;1;RN;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Feminino;Superior completo;SUDESTE;Apto;Não eleito;1;RJ;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Feminino;Superior completo;SUDESTE;Apto;Não eleito;1;SP;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Feminino;Superior completo;SUL;Apto;Não eleito;1;RS;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Masculino;Ensino Médio completo;NORDESTE;Apto;Não eleito;1;CE;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Masculino;Ensino Médio completo;NORDESTE;Apto;Não eleito;1;PE;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Masculino;Superior completo;CENTRO-OESTE;Apto;Não eleito;1;MT;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Masculino;Superior completo;NORDESTE;Apto;Eleito;1;PB;1,0;1,0;0,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Masculino;Superior completo;NORDESTE;Apto;Não eleito;1;AL;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Masculino;Superior completo;NORDESTE;Apto;Não eleito;1;CE;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Masculino;Superior completo;NORDESTE;Apto;Não eleito;1;PI;2,0;0,0;0,0;2,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Masculino;Superior completo;NORTE;Apto;Não eleito;1;TO;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Masculino;Superior completo;SUDESTE;Apto;Eleito;1;MG;1,0;1,0;0,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Masculino;Superior completo;SUDESTE;Apto;Não eleito;1;ES;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Masculino;Superior completo;SUDESTE;Apto;Não eleito;1;MG;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Masculino;Superior completo;SUDESTE;Apto;Não eleito;1;RJ;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Masculino;Superior completo;SUL;Apto;Não eleito;1;PR;4,0;0,0;0,0;4,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Masculino;Superior completo;SUL;Apto;Não eleito;1;RS;2,0;0,0;0,0;2,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;35 a 39 anos;Masculino;Superior completo;SUL;Apto;Não eleito;1;SC;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;40 a 44 anos;Feminino;Superior completo;CENTRO-OESTE;Apto;Não eleito;1;DF;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;40 a 44 anos;Feminino;Superior completo;NORDESTE;Apto;Não eleito;1;PE;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;40 a 44 anos;Feminino;Superior completo;SUL;Apto;Não eleito;1;PR;2,0;0,0;0,0;2,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;40 a 44 anos;Masculino;Ensino Fundamental completo;NORTE;Apto;Não eleito;1;PA;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;40 a 44 anos;Masculino;Ensino Médio completo;CENTRO-OESTE;Apto;Não eleito;1;GO;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;40 a 44 anos;Masculino;Ensino Médio completo;NORDESTE;Apto;Não eleito;1;PI;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;40 a 44 anos;Masculino;Ensino Médio completo;SUL;Apto;Não eleito;1;SC;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;40 a 44 anos;Masculino;Lê e escreve;SUDESTE;Apto;Não eleito;1;SP;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;40 a 44 anos;Masculino;Superior completo;CENTRO-OESTE;Apto;Eleito;1;MT;1,0;1,0;0,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;40 a 44 anos;Masculino;Superior completo;CENTRO-OESTE;Apto;Não eleito;1;DF;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;40 a 44 anos;Masculino;Superior completo;CENTRO-OESTE;Apto;Não eleito;1;GO;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;40 a 44 anos;Masculino;Superior completo;CENTRO-OESTE;Apto;Não eleito;1;MS;2,0;0,0;0,0;2,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;40 a 44 anos;Masculino;Superior completo;NORDESTE;Apto;Eleito;1;RN;1,0;1,0;0,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;40 a 44 anos;Masculino;Superior completo;NORDESTE;Apto;Não eleito;1;AL;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;40 a 44 anos;Masculino;Superior completo;NORDESTE;Apto;Não eleito;1;MA;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;40 a 44 anos;Masculino;Superior completo;NORDESTE;Apto;Não eleito;1;PB;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;40 a 44 anos;Masculino;Superior completo;NORDESTE;Apto;Não eleito;1;PE;1,0;0,0;0,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;40 a 44 anos;Masculino;Superior completo;NORTE;Apto;Eleito;1;AC;1,0;1,0;0,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;1º Suplente;Branca;Deferido;40 a 44 anos;Masculino;Superior completo;NORTE;Apto;Não eleito;1;RO;2,0;0,0;0,0;2,0;0,0;0,0;2023-05-14 11:01:32
